Sr. No,RERA ID,Developer Name,Project Name,Location,Town,Tie-up status,Create Date,Status
2050,P52100021940 (OC Received),Zanjale Developers,Zanjale Baug,Gultekdi,Pune Center,No,25/05/2021,Active
2051,P52100000364,"Sameer Constructions,Vittheshwar Group",Sameer Vrundawan Residency,Urawade,Pune West,No,26/05/2021,Active
2052,P52100023048,Ranade Realtors,Ranade Parimal,Erandwane,Pune Center,No,26/05/2021,Sold Out
2053,P52100014753,Bella Ventures,Bella Arwana,Karve Nagar,Pune Center,No,27/05/2021,Sold Out
2054,P52100023144,"Parulekarkale Realty LLP,Kamakshie Constructions,Imperial Developers",Parulekarkale Saam,Gultekdi,Pune Center,No,27/05/2021,Sold Out
2055,P52100021628 (OC Received),Prathamesh Constructions,Prathamesh Shreyas,Gultekdi,Pune Center,No,28/05/2021,Sold Out
2056,P52100015147 (OC Received),Tamboli Infra Projects Pvt Ltd,Tamboli Olive One,Kondhwa Budruk ,Pune South,No,28/05/2021,Sold Out
2057,OC Received,Ashwamedh Spaces Pvt Ltd,Ashwamedh Dignity,Baner,Pune West,No,28/05/2021,Sold Out
2058,P52100029341,GK Associates,Allure,Ravet,Pune West,No,1/6/2021,Inactive
2059,P52100027918,SSD Group,SSD Sai Crystal,Rahatani,Pune West,No,1/6/2021,Sold Out
2060,OC Received,Om Developers,Om Gokul Villa,Lohegaon,Pune East,No,1/6/2021,Sold Out
2061,P52100015506 (OC Received),Shraddha Construction,Shraddha Dev Residency,Handewadi,Pune South,No,2/6/2021,Sold Out
2062,P52100028939,Jamadar Constructions,Jamadar Kamble Heights,Yerawada,Pune East,No,3/6/2021,Active
2063,"P52100028177,P52100035086",Anshul Group,Anshul Ela,Moshi,Pimpri Chinchwad,No,4/6/2021,Active
2064,P52100027360,Unicon Group,Unicon Akshar,Perne,Pune East,No,4/6/2021,Active
2065,P52100014835 (OC Received),Aware Properties,Aware Rajyog Residency,Loni Kalbhor,Pune East,No,8/6/2021,Sold Out
2066,P52100029363 (OC Received),Pandit Javdekar,Pandit Javdekar Santosh,Parvati ,Pune Center,No,8/6/2021,Sold Out
2067,P52100028926,TCG Real Estate,VC Homes (The Cliff Garden-Phase 2A),Hinjawadi,Pune West,No,11/6/2021,Active
2068,P52100027017 (OC Received),Raojee Constructions,Raojee Palladium Plus,Dhanori,Pune East,No,8/6/2021,Sold Out
2069,OC Received,Nirmaan Developers,Nirmaan Vihaan Heights,Wagholi,Pune East,No,10/6/2021,Sold Out
2070,"P52100027545, P52100045365  (OC Received)",Jairaj Developers,Jairaj Aaradhyam,Kondhwa Budruk,Pune South,No,11/6/2021,Sold Out
2071,P52100018052,"SK Developers, Shree Mahalakshmi Realty",Shree Ganesh Park Phase II,Kolwadi,Pune East,No,14/06/2021,Sold Out
2072,P52100010928,Mepcon,Mepcon Collina Vista,Mohammed Wadi,Pune South,No,16/06/2021,Sold Out
2073,P52100028953,Impulse Builder,Impulse Arena,Lohegaon,Pune East,No,14/06/2021,Sold Out
2074,P52100015380,Maseera Enterprises,Maseera White Stone,Bopkhel,Pimpri Chinchwad,No,14/06/2021,Sold Out
2075,P52100027482,MAP Developers,MAP Vrindavan Park,Loni Kalbhor,Pune East,No,15/06/2021,Sold Out
2076,P52100029559,Godrej Property,Godrej Hill Retreat,Mahalunge,Pune West,No,15/06/2021,Sold Out
2077,P52100028527,Ganraj Associates,Ganraj Skydale,Mohammed Wadi,Pune South,No,15/06/2021,Active
2078,P52100027916,Ideal Builders,Ideal Avenue,Moshi,Pimpri Chinchwad,No,16/06/2021,Active
2079,P52100029132,Badhekar Developers,Badhekar Keshar,Kothrud,Pune Center,No,16/06/2021,Active
2080,P52100029417,"Gokhale Constructions, VG Realtors LLP",Gokhale Vishnu,Kothrud,Pune Center,No,16/06/2021,Sold Out
2081,P52100029031,Goel Ganga Developments,Ganga Aashray,Dhanori,Pune East,No,17/06/2021,Active
2082,P52100029290,Badhekar Developers,Badhekar Pushkar,Kothrud,Pune Center,No,17/06/2021,Active
2083,P52100029413, Gokhale Constructions,Gokhale Kalakunj,Kothrud,Pune Center,No,17/06/2021,Sold Out
2084,P52100011485 (OC Received),Vishhram Developers,Vishhram Daffodils,Somatane,Pimpri Chinchwad,No,21/06/2021,Sold Out
2085,P52100011964(OC Received),Kshipra Buildcon,Kshipra Ved Vihar,Ravet,Pune West,No,22/06/2021,Active
2086,P52100027678,Anandee Vastu,Anandee Vastu Shridharprasad,Parvati ,Pune Center,No,23/06/2021,Sold Out
2087,P52100029013,Soham Builders,Soham Galaxy,Hadapsar,Pune East,No,24/06/2021,Active
2088,P52100027935,Dagade Patil Constructions,Dagade Patil White Prestige,Bavdhan,Pune West,No,25/06/2021,Active
2089,P52100029119,Kumar Properties,Kumar Priyadarshan,Pashan,Pune West,No,25/06/2021,Sold Out
2090,OC Received,Sharada Realty,Sharada Villa,Dehu,Pimpri Chinchwad,No,29/06/2021,Sold Out
2091,P52100028677,Kimaya Realities,Kimaya Amora,Pimple Nilakh ,Pimpri Chinchwad,No,30/06/2021,Active
2092,P52100029398,Radhika Developers,Radhika Sikandar Apartments,Kondhwa,Pune South,No,5/7/2021,Sold Out
2093,P52100029547(OC Received),Suman Buildcon,Suman Renaissance,Dhanori,Pune East,No,6/1/2022,Active
2094,P52100029429,"Triaa Housing , Eliseo ",Triaa Elysia,Keshav Nagar,Pune East,No,6/7/2021,Active
2095,"P52100014056 (OC Received),P52100049458",Garve Patil Construction Company,Garve Patil  Samrajya,Pimple Gurav,Pimpri Chinchwad,No,7/7/2021,Active
2096,P52100019578,Mittal Brothers,Mittal One Place,Baner,Pune West,No,7/7/2021,Sold Out
2097,P52100025859,New Balaji Developers,Balaji Crystal,Ambegaon BK,Pune South,No,8/7/2021,Sold Out
2098,P52100029808,Kohinoor Group,Kohinoor Presidentia,Ghorpadi,Pune East,No,8/7/2021,Sold Out
2099,P52100028386,Krishna Rama Properties,Krishna Sai Dwarka,Dehu road,Pimpri Chinchwad,No,9/7/2021,Sold Out
2100,P52100020380,Khamkar Associates,Khamkar Garden,Bibwewadi,Pune South,No,9/7/2021,Sold Out
2101,"P52100005467, P52100006736(OC Received)",Kumar Builders,Kumar Shantiniketan Phase II,Pashan,Pune West,No,12/7/2021,Sold Out
2102,P52100029676,Magnum Group,Magnum Iris,Kesnand,Pune East,No,12/7/2021,Active
2103,P52100029672,Rajyog Associates,Rajvika Skies,Ambegaon BK,Pune South,No,12/7/2021,Inactive
2104,"P52100001419, P52100027615",Aditya Builders,Aditya Vivaaz,Ravet,Pune West,No,13/07/2021,Sold Out
2105,P52100006666,"Panchganga Group,Rahul Constructions",Panchganga Kalash Ganga,Kondhwa Budruk,Pune South,No,13/07/2021,Sold Out
2106,P52100027038,Floret Buildcon Private Limited,Floret Siddhi Avenue,Rahatani,Pune West,No,13/07/2021,Active
2107,OC Received,Eishwara Builders,Eishwara Kartik Heights,Uruli Kanchan,Pune East,No,14/07/2021,Inactive
2108,P52100029680( OC Received),Sahil Developers,Sahil Yashika,Kondhwa Budruk ,Pune South,No,13/07/2021,Sold Out
2109,P52100028139,Mayuresh Infra,Mayuresh Silver 18,Chikhali,Pimpri Chinchwad,No,13/07/2021,Active
2110,OC Received,Eishwara Builders,Eishwara Shree Nath Vihar,Fursungi,Pune South,No,14/07/2021,Sold Out
2111,P52100015733,Aashish Promoters & Builders,Aashish Nandanvan,Kondhwa ,Pune South,No,14/07/2021,Sold Out
2112,OC Received,Kondhare Wable And Associates,Kondhare Wable Sai Vrundavan,Ambegaon BK,Pune South,No,15/07/2021,Sold Out
2113,OC Received,Kondhare Wable And Associates,Kondhare Wable  Sinhgad Vrundavan,Ambegaon BK,Pune South,No,15/07/2021,Sold Out
2114,P52100024666,"Shriniwas Developers, S.B. Barne & Sons",Shriniwas Savita Calysta,Thergaon,Pimpri Chinchwad,No,15/07/2021,Active
2115,P52100008359,Raviraj Realty,Raviraj Finswell Woods,Viman Nagar,Pune East,No,16/07/2021,Sold Out
2116,P52100024045  ,Pristine Properties,Pristine Greens Phase 3,Moshi,Pimpri Chinchwad,No,16/07/2021,Sold Out
2117,P52100001297 (OC Received),Rajashree Developers,Rajashree Simandhar,Rahatani,Pune West,No,16/07/2021,Sold Out
2118,P52100029509,"Bhagya Sanjeevani Group, Arham Group ",Arham Sai Arcade,Handewadi,Pune South,No,16/07/2021,Active
2119,P52100028012,Kumar Properties,Kumar Peninsula,Pashan,Pune West,No,19/07/2021,Active
2120,P52100025330,Konark Associates,Konark Vishnu Sadan,Pimpri,Pimpri Chinchwad,No,20/07/2021,Sold Out
2121,P52100028749,Rajashree Developers,Rajashree Elegance,Rahatani,Pune West,No,19/07/2021,Sold Out
2122,P52100029836,City One Developers,City One Panache,Nigdi,Pimpri Chinchwad,No,19/07/2021,Active
2123,P52100026676,"Sankla Buildcoon,Blue Ventures",Sankla Sommet,Bavdhan,Pune West,No,20/07/2021,Active
2124,P52100029844,Krisala Developers,Krisala 41 Cosmo,Tathawade,Pune West,No,20/07/2021,Active
2125,P52100029801,Buttepatil Properties,Buttepatil Gulab Sadan,Shivaji nagar,Pune Center,No,20/07/2021,Sold Out
2126,OC Received,Nahar Group,Akshara Residency,Kondhwa Budruk,Pune South,No,20/07/2021,Sold Out
2127,P52100027202,KNK Developer,KNK Akshara Hills,Katraj,Pune South,No,20/07/2021,Sold Out
2128,P52100027111,Nexus Group,Nexus Westpride,Punawale,Pune West,No,22/07/2021,Sold Out
2129,P52100028192( OC Received),"Bhandari Associates, Namrata Group",Bhandari Altura Hills,Baner,Pune West,No,28/07/2021,Sold Out
2130,P52100029764,Badhekar Developers,Badhekar Mrudugandha,Kothrud,Pune Center,No,2/8/2021,Active
2131,P52100028932,Vipul Construction,Vipul Laxmi Puram,Khadakwasla,Pune South,No,3/8/2021,Active
2132,P52100025819,Badhekar Developers,Badhekar Mayura,Kothrud,Pune Center,No,3/8/2021,Active
2133,P52100027161,Ahura Builders,Ahura Ecopolitan Phase II,Punawale,Pune West,No,3/8/2021,Sold Out
2134,P52100029972,Truspace ,Truspace Prima Angulus,Balewadi,Pune West,No,4/8/2021,Sold Out
2135,P52100029983,Vyas Buildcon Pvt Ltd,Vyas Sudhendu CHS,Kothrud,Pune Center,No,4/8/2021,Sold Out
2136,P52100021159,Sheth Realty,Sheth Splendour Greens,Kondhwa,Pune South,No,23/08/2021,Active
2137,"P52100011483 (OC Received), P52100030688",Kohinoor Group,Kohinoor Shangrila ,Pimpri,Pimpri Chinchwad,No,5/8/2021,Active
2138,P52100028762,GT Buildcon,GT Royal Palms,Ravet,Pune West,No,5/8/2021,Sold Out
2139,P52100028634,Sharanya Constructions,Sharanya Galaxy,Talegaon Dhamdhere,Pune East,No,5/8/2021,Active
2140,P52100028478,F5 Realtors,Felicia,Hadapsar,Pune East,No,5/8/2021,Inactive
2141,P52100030055,Pride Purple Properties,Pride Park Ivory Phase 3,Wakad,Pune West,No,10/8/2021,Sold Out
2142,P52100003075 (OC Received),A K Surana Developers,A K Surana Ruturang Shravan,Parvati ,Pune Center,No,11/8/2021,Sold Out
2143,OC Received,Vaishnavi Developers,Vaishnavi Niwas,Manjri,Pune East,No,11/8/2021,Sold Out
2144,P52100027160,Shree Sai Promoters & Builders,Sai Vivek,Ravet,Pune West,No,11/8/2021,Sold Out
2145,P52100026893,Shree Sai Promoters & Builders,Sai Aasra,Tathawade,Pune West,No,12/8/2021,Sold Out
2146,"P52100029108,P52100029109 ",Gangotree Greenbuild,Gangotree Saleel,Parvati ,Pune Center,No,12/8/2021,Sold Out
2147,P52100029650,Kohinoor Group,Kohinoor Sportsvile,Hinjawadi ,Pune West,No,12/8/2021,Active
2148,P52100029791,"Primespace Realty Group, Pride Group,  Naiknavare Developers",Primespace The Address,Aundh,Pune West,No,12/8/2021,Active
2149,"P52100030037,P52100032842,P52100049704",Mantra Properties,Mantra Mirari (Codename Infinity),Mundhwa,Pune East,No,12/8/2021,Active
2150,P52100029286,Sancheti Builders,Sancheti Mount N Glory,Kharadi,Pune East,No,12/8/2021,Sold Out
2151,P52100028705,Yash Promoters & Builders,Yash Grecia,Dhanori,Pune East,No,12/8/2021,Active
2152,P52100029345,Yashada Realty Group,Yashada Florenza,Pimpri,Pimpri Chinchwad,No,12/8/2021,Sold Out
2153,"P52100028816, P52100028803,P52100048216","Kasturi, Kumra Realtors",Kasturi The Balmoral Riverside,Baner,Pune West,No,13/08/2021,Active
2154,P52100028030,Vilas Javdekar Developers,Vilas Javdekar IndiLife,Pashan,Pune West,No,17/08/2021,Sold Out
2155,P52100026219,ANP Corp,ANP Memento,Wakad,Pune West,No,18/08/2021,Sold Out
2156,P52100008615,Mind Space Realty Pvt Ltd,Mind Space Olive,Ambegaon BK,Pune South,No,19/08/2021,Sold Out
2157,P52100028872,Namo Reality,Namo Imperial,Lohegaon,Pune East,No,20/08/2021,Active
2158,P52100030000,Pandit Javdekar,Pandit Javdekar Matoshri Sulbha,Kothrud,Pune Center,No,19/08/2021,Sold Out
2159,P52100030159,Akshay Properties,Akshay Aaradhya Park,Talegaon Dabhade,Pimpri Chinchwad,No,19/08/2021,Sold Out
2160,P52100020993,Anil Kankaria & Associates,Anil Kankaria Skyra,Balewadi,Pune West,No,17/06/2022,Sold Out
2161,"P52100030387, P52100030590",Mantra properties,Mantra Mesmer Phase 1 (Codename Wonderland),Keshav Nagar,Pune East,No,20/08/2021,Active
2162,P52100027702,Bhakti Builders,Bhakti  Elysia Towers,Wakad,Pune West,No,24/08/2021,Sold Out
2163,"P52100029260,P52100045985,P52100045598,P52100031670",Pharande Spaces,Pharande Vaanya (Woodsville Phase IV),Moshi,Pimpri Chinchwad,No,24/08/2021,Active
2164,P52100028092,"Wakadkar Associates, Lwarence Fernandis & Co., MK Developers",Wakadkar Aster Park,Jambhe,Pune West,No,24/08/2021,Active
2165,P52100029922,Samruddhi Developers,Samruddhi Prime,Lohegaon,Pune East,No,24/08/2021,Active
2166,P52100028147,Sanjay Wadekar Group,Sanjay Wadekar Purandhar Gold,Saswad,Pune South,No,25/08/2021,Sold Out
2167,P52100015150,Suman Associates,Suman Raj Residency,Wagholi,Pune East,No,25/08/2021,Sold Out
2168,P52100025777 ,KK Group Infra Realty,KK Marks,Ravet,Pune West,No,27/08/2021,Sold Out
2169,P52100029021,Ekdant Developers,Ekdant Dnyanai Residency,Alandi,Pimpri Chinchwad,No,26/08/2021,Sold Out
2170,P52100023511(OC Received ),Prathamesh Constructions,Prathamesh Anant,Parvati ,Pune Center,No,26/08/2021,Sold Out
2171,P52100029687,Rajluckxmi Realcon,Rajluckxmi Stellar Homes,Hinjawadi ,Pune West,No,27/08/2021,Sold Out
2172,P52100020967,"Ashtavinayak Infra , Panorama Developers",Ashtavinayak Dreams Riviera,Loni Kalbhor,Pune East,No,27/08/2021,Sold Out
2173,P52100029452,SB Patil Group,SB Patil Bliss County,Charholi Budruk,Pimpri Chinchwad,No,30/08/2021,Sold Out
2174,P52100030433,Excellaa,Excellaa Tremont,Mundhwa,Pune East,No,30/08/2021,Active
2175,P52100025256,Bramhacorp,Bramhacorp Smart,Wadgaon Sheri,Pune East,No,30/08/2021,Active
2176,P52100013441,Ramoli Shrushti Developers,Ramoli Elegance Park,Ravet,Pune West,No,31/08/2021,Active
2177,P52100028596 (OC Received),P S Developers,P S Sankalp,Dhanori,Pune East,No,31/08/2021,Active
2178,P52100017921,Shubharambh Realities,Shubharambh Ovi Homes,Dehu,Pimpri Chinchwad,No,31/08/2021,Sold Out
2179,"P52100023973,P52100002332(OC Recieved)",Kalp Buildtech,Kalp Residency ,Chakan,Pimpri Chinchwad,No,1/9/2021,Sold Out
2180,P52100027186,"Maloji & Sons Promoters And Builders, Amar Builders",Amar Ornate II,Hadapsar,Pune East,No,1/9/2021,Sold Out
2181,P52100028373,M B Developers,Bhagat Complex,Nana Peth,Pune Center,No,2/9/2021,Inactive
2182,"P52100030518, P52100030585, P52100030605,P52100031019,P52100034965, P52100034671,P52100034738",Mantra Properties,Mantra Meraki (Codename Akurdi),Chinchwad,Pimpri Chinchwad,No,2/9/2021,Active
2183,"P52100000504,P52100028340","Jhala Group,J.K.P Developers",Jhala Simplicity (Wing A),Handewadi,Pune South,No,2/9/2021,Active
2184,P52100030486,Unique Properties,Unique Legacy Royale,Keshav Nagar,Pune East,No,3/9/2021,Active
2185,P52100030521,VTP Realty,VTP Altair (Pegasus),Kharadi,Pune East,No,3/9/2021,Sold Out
2186,P52100020169,A R Constructions,The Ace,Ghorpadi,Pune East,No,6/9/2021,Sold Out
2187,P52100030375,"Shroff's,Choice Group",Shroffs Aureta,Mundhwa,Pune East,No,6/9/2021,Active
2188,P52100014100,Shubham Enterprises ,Shubham Serenity,Sus,Pune West,No,7/9/2021,Sold Out
2189,P52100030318,ANP Corp,ANP Universe,Balewadi,Pune West,No,7/9/2021,Active
2190,P52100030474,Ranade Realtors,Ranade Sharawati Apartments,Kothrud,Pune Center,No,8/9/2021,Sold Out
2191,P52100030104,Landmark Realty,Landmark Silviana,Baner,Pune West,No,8/9/2021,Sold Out
2192,P52100026034,Soham Group,Soham Riveria,Anand Nagar,Pune South,No,8/9/2021,Sold Out
2193,P52100029297,"Austin Realty, Kriplani Associates Builder And Developers",Austin One,Pimple Saudagar,Pimpri Chinchwad,No,8/9/2021,Active
2194,P52100019648 (OC Received),Bhargavi Developers,Bhargavi  Minakshi Heights,Hadapsar,Pune East,No,9/9/2021,Sold Out
2195,P52100015698(OC Received),Meridian Housing,Meridian Zuha,Kondhwa,Pune South,No,9/9/2021,Active
2196,P52100030724,Nilesh Construction,Nilesh Anant Homes,Hadapsar,Pune East,No,9/9/2021,Active
2197,P52100029412,Legacy Lifespaces,Legacy Ivy,Punawale,Pune West,No,9/9/2021,Inactive
2198,P52100030180,Vikas Buildcon,V Axis,Wagholi,Pune East,No,13/09/2021,Inactive
2199,P52100030680,ARV Group,ARV Uthville,Kharadi,Pune East,No,13/09/2021,Sold Out
2200,P52100030708,Vision Creative Group,Vision Aristo,Ravet,Pune West,No,13/09/2021,Sold Out
2201,P52100029795,Shree Chintamani Promoters And Builders,Shree Chintamani Gurukrupa Sanidhya,Guruwar Peth,Pune Center,No,14/09/2021,Sold Out
2202,"P52100026727,P52100029481,P52100029474,P52100034274",SKYi Developers,SKYi Star City,Dhayari,Pune South,No,14/09/2021,Active
2203,P52100030356,Welworth Realty,Welworth Purnam,Hinjawadi,Pune West,No,14/09/2021,Sold Out
2204,P52100028360,Gokhale Constructions,Gokhale Anusha,Erandwane,Pune Center,No,15/09/2021,Sold Out
2205,P52100028034,Sangale Builders And Developers,Sangale Imperial Heights,Hadapsar,Pune East,No,15/09/2021,Active
2206,P52100026732,DEU Associates,DEU Trident,Pimple Nilakh ,Pune West,No,17/09/2021,Sold Out
2207,P52100029020,Ashwamedh Spaces Pvt Ltd,Ashwamedh Sulochan Park,Kothrud,Pune Center,No,17/09/2021,Sold Out
2208,P52100030243,Makwana & Tanmay Construction,Makwana And  Tanmay Vrindanand Elite,Kondhwa,Pune South,No,20/09/2021,Sold Out
2209,P52100029582,Success Infra,Success Windsor Tower,Ravet,Pune West,No,20/09/2021,Active
2210,P52100029220,Success Infra,Success Vedika Homes,Ravet,Pune West,No,21/09/2021,Sold Out
2211,P52100029616,Success Infra,Success Kalp Avenue,Moshi,Pimpri Chinchwad,No,21/09/2021,Active
2212,P52100029620,"Sonigara Homes, Shiv Associates",Sonigara 24 Sunshine Tower,Chikhali,Pimpri Chinchwad,No,22/09/2021,Active
2213,P52100019471,Vedant Developments,Vedant Kingston Greens,Undri,Pune South,No,22/09/2021,Active
2214,P52100028354,Shree Krishna Developers,Shree Krishna Palaash Oak,Baner,Pune West,No,23/09/2021,Sold Out
2215,P52100026794,Divine Ventures & Lanke Birje Associates,Divine Palm Springs,Wakad,Pune West,No,23/09/2021,Sold Out
2216,P52100030324,Siddhivinayak Developers & Avis Group,Siddhivinayak Vision Exotica,Bhosari,Pimpri Chinchwad,No,24/09/2021,Active
2217,P52100030135,Soham Developers,Soham Shitole Heights,Warje,Pune South,No,24/09/2021,Active
2218,P52100024210,Vardan Developers,Vardan Siddharth Heights,Wanowrie,Pune South,No,27/09/2021,Sold Out
2219,P52100030773,Krishna Group,Krishna Fairmont,Wakad,Pune West,No,27/09/2021,Active
2220,P52100030740,"Stone Capital, Chandan Group, Porwal Realtors & Developers",Stone Khushvista Phase I,Mohammed Wadi,Pune South,No,28/09/2021,Active
2221,P52100029380,Misilo Developers ,Misilo Yamini,Pirangut,Pune West,No,28/09/2021,Active
2222,P52100028280,Unnati Developers,Unnati SL Heights,Swargate,Pune Center,No,28/09/2021,Active
2223,P52100021699 (OC Received),Kothari Brothers,Kothari Shree Heritage,Kondhwa Budruk,Pune South,No,29/09/2021,Sold Out
2224,P52100030795,Sukhwani Associates Promoters & Builders,Sukhwani Aspire,Dehu road,Pimpri Chinchwad,No,29/09/2021,Active
2225,P52100030465,"VB Ventures, Happy House, Chandan Group",VB Ventures Aundh Renaissance ,Aundh,Pune West,No,29/09/2021,Active
2226,P52100028570,"Nirman Developers, Trimurti Group , Vaswani Group",Nirman Brookefield Willows Phase II,Pisoli,Pune South,No,29/09/2021,Active
2227,P52100024127,M/S Shripad Constructions,Shripad Selanite Tower,Pashan,Pune West,No,30/09/2021,Sold Out
2228,P52100030114,Kumar Properties,Kumar Primrose,Kharadi,Pune East,No,30/09/2021,Sold Out
2229,P52100030538,"Kohinoor Group,Saheel Properties",Kohinoor ITrend Waterfront,Ravet,Pune West,No,30/09/2021,Sold Out
2230,P52100029545,S G Lanke Constructions,SG Lanke Vishal Leela Residency,Kharadi,Pune East,No,30/09/2021,Sold Out
2231,P52100028138,Bushra Constructions,Paradise Home,Bhavani Peth,Pune Center,No,1/10/2021,Inactive
2232,P52100027403,Kishor Developers,Kishor Vatika,Warje,Pune South,No,1/10/2021,Active
2233,P52100030041 (OC Received),Vinayak Developers,Vinayak Siddhivinayak Apartment,Chinchwad,Pimpri Chinchwad,No,4/10/2021,Sold Out
2234,P52100017265,Manjare And Mutke Associates,Manjare And Mutke Crown Field Residency,Chakan,Pimpri Chinchwad,No,4/10/2021,Sold Out
2235,"P52100014427(OC Received), P52100029279",GG Builders And Developers,GG Gulmohar Park,Chakan,Pimpri Chinchwad,No,5/10/2021,Sold Out
2236,P52100026403(OC Received),Manohar Developers,Manohar Residency,Balewadi,Pune West,No,5/10/2021,Sold Out
2237,P52100008874,"Pradnyesh Builders And Developers, Propking Associates",Pradnyesh Residency,Chakan,Pimpri Chinchwad,No,6/10/2021,Sold Out
2238,P52100028517,Karan Developers,Karan Shankara Apartment,Deccan Gymkhana,Pune Center,No,6/10/2021,Sold Out
2239,P52100024854,Sai Enterprises & Propking Associates,Sai Sarangi Residency,Chakan,Pimpri Chinchwad,No,8/10/2021,Sold Out
2240,P52100030495,The Gen Group Of Constructions,Meraki,Pashan,Pune West,No,8/10/2021,Inactive
2241,P52100030266,"Naman Developers,Kushal Landmarks",Naman Sudarshan,Shivajinagar,Pune Center,No,11/10/2021,Sold Out
2242,P52100030909,"Yashcon Shelter, Horizon Developers, Kushal Constructions",Horizon Highgroves,Mundhwa,Pune East,No,11/10/2021,Active
2243,P52100027756,Ranade Realtors,Ranade Seeta Govind,Sadashiv Peth,Pune Center,No,11/10/2021,Sold Out
2244,P52100030557 (OC Received),Padmavati Group,Padmavati Nakshatra,Bhavani Peth,Pune Center,No,13/10/2021,Sold Out
2245,P52100030568,"Kanchan Developers,Ahura Builders,Osian Group",Osian One And Only,Mundhwa,Pune East,No,12/10/2021,Sold Out
2246,P52100021956,Kundan Spaces,Kundan Eternia Phase 2,Ghorpadi,Pune East,No,12/10/2021,Active
2247,P52100027460,"Vastubandh Buildcon,Sunil Landge Associates",Vastubandh Kusumkunj,Bhosari,Pimpri Chinchwad,No,12/10/2021,Sold Out
2248,P52100030685,AUM Sanskruti Housing,AUM Sanskruti Casa Imperia,Wakad,Pune West,No,12/10/2021,Active
2249,P52100029014,Pride Construction,Pride Kale Residency,Alandi,Pimpri Chinchwad,No,13/10/2021,Sold Out
2250,P52100030526(OC Received),Kumar Properties,Kumar Samruddhi,Vishrant Wadi ,Pune East,No,12/10/2021,Active
2251,P52100030309 ,Badhekar Group,Badhekar Arunali,Kothrud,Pune Center,No,12/10/2021,Active
2252,P52100030586,"Milestone Developers,PK Developers",Milestone,Charholi Budruk,Pimpri Chinchwad,No,14/10/2021,Active
2253,P52100031125,"Majestique Landmarks, Ganpatrao Chavan & Brother Ventures",Majestique Swapnangan,Dhayari,Pune South,No,18/10/2021,Sold Out
2254,P52100008087 (OC Received),"Dugad Group,Shree Mahalaxmi Developers",Dugad Panache,Kalyani Nagar,Pune East,No,18/10/2021,Sold Out
2255,P52100009089,Devcon Developer,Devcon Onella Landscapes,Kondhwa Budruk,Pune South,No,18/10/2021,Active
2256,OC Received,Raviraj Realty,Raviraj Park Island,Yerawada,Pune Center,No,19/10/2021,Sold Out
2257,P52100030694,Belmont Realty,Belmont Orchid,Dhanori,Pune East,No,19/10/2021,Sold Out
2258,P52100027220,Ogale Realty LLP,Ogale Aditya Shagun,Chikhali,Pimpri Chinchwad,No,19/10/2021,Active
2259,P52100022161,Nirman Group,Nirman Milestone,Ravet,Pune West,No,19/10/2021,Sold Out
2260,P52100029850,Siddhidata Developers,Siddhidata Innara Residency,Wakad,Pune West,No,19/10/2021,Sold Out
2261,P52100031241,Shri Associates,Shri Associates Om Mangalam Chaitanya,Ravet,Pune West,No,20/10/2021,Active
2262,P52100022342,"Mante Developers,Apratim Group",Luxor,Baner,Pune West,No,20/10/2021,Inactive
2263,P52100030659,Golden Promoters & Developers,Golden Vista(ATK Tower),Khadki,Pune Center,No,20/10/2021,Inactive
2264,P52100031233,NG Rathi Group,NG Rathi Vrundavan,Vishrant Wadi ,Pune East,No,20/10/2021,Active
2265,P52100021223,Raichandani Construction,Raichandani Pentagon Towers,Karve Nagar,Pune Center,No,20/10/2021,Sold Out
2266,P52100029933,SKYi Developers,SKYi  Sula Heights,Bavdhan,Pune West,No,22/10/2021,Active
2267,P52100015639 ,Namrata Group,Namrata Shrinagari Phase 3,Talegaon Dabhade,Pimpri Chinchwad,No,22/10/2021,Active
2268,"P52100030598,P52100016486",Indraprastha Developers,Indraprastha,Kondhwa Budruk,Pune South,No,22/10/2021,Sold Out
2269,P52100027524,M K Construction,Laxmi Kunj,Mundhwa,Pune East,No,22/10/2021,Inactive
2270,P52100030647,Mangaldeep Associates,Mangaldeep Balkrushna Apartment,Kalewadi,Pimpri Chinchwad,No,25/10/2021,Sold Out
2271,"P52100018143 , P52100050379",Tejraj Group,Tej Elevia,Baner,Pune West,No,25/10/2022,Sold Out
2272,P52100030581,Nidisha Buildcon,a Familia,Ambegaon BK,Pune South,No,26/10/2021,Active
2273,P52100029779  (OC Received),Shree Vishwanath Developers,Shree Vishwanath Splendid Homes,Ravet,Pune West,No,26/10/2021,Sold Out
2274,P52100030471 (OC Received),Nirman Developers,Nirman Kanchanganga, Parvati,Pune Center,No,26/10/2021,Active
2275,P52100030918,GSV Constructions,GSV Basil Shreeji,Ambegaon BK,Pune South,No,26/10/2021,Sold Out
2276,P52100022668,Indraprastha Developers,Indraprastha Landmark,Kondhwa Budruk,Pune South,No,27/10/2021,Sold Out
2277,P52100030466,Vaghajai Developers,Vaghajai Swapnalok Residency,Alandi,Pimpri Chinchwad,No,27/10/2021,Sold Out
2278,P52100030633,Indraprastha Developers,Indraprastha Glory,Katraj,Pune South,No,28/10/2021,Sold Out
2279,P52100030656,Ekdant Associates,Ekdant Girish Regency,Bhosari,Pimpri Chinchwad,No,28/10/2021,Active
